#insert-lineares-sondieren.csv
#Yannick
#Matousek
#12005960
group,number,instanceType,probeType,stepsAvg,m,numberOfKeys,stepsNegativeAvg
Insert,64,INSERT,LINEARES_SONDIEREN,12.760000000000002,100,50,14.175333333333333
Insert,65,INSERT,LINEARES_SONDIEREN,1.4000000000000004,101,50,2.1453333333333346
Insert,66,INSERT,LINEARES_SONDIEREN,1.34,102,50,2.1299999999999977
Insert,67,INSERT,LINEARES_SONDIEREN,13.32,100,50,14.175333333333333
Insert,68,INSERT,LINEARES_SONDIEREN,1.82,101,50,2.639666666666671
Insert,69,INSERT,LINEARES_SONDIEREN,1.54,102,50,2.3866666666666636
Insert,70,INSERT,LINEARES_SONDIEREN,14.1,100,50,12.487333333333329
Insert,71,INSERT,LINEARES_SONDIEREN,1.84,101,50,3.1929999999999965
Insert,72,INSERT,LINEARES_SONDIEREN,2.0199999999999996,102,50,2.4496666666666638
Insert,73,INSERT,LINEARES_SONDIEREN,15.76,100,50,14.175333333333333
Insert,74,INSERT,LINEARES_SONDIEREN,1.36,101,50,2.0570000000000035
Insert,75,INSERT,LINEARES_SONDIEREN,1.66,102,50,2.4083333333333274
Insert,76,INSERT,LINEARES_SONDIEREN,12.04,100,50,14.175333333333333
Insert,77,INSERT,LINEARES_SONDIEREN,1.42,101,50,2.0430000000000037
Insert,78,INSERT,LINEARES_SONDIEREN,1.5,102,50,2.162666666666672
Insert,79,INSERT,LINEARES_SONDIEREN,13.68,100,50,14.175333333333333
Insert,80,INSERT,LINEARES_SONDIEREN,1.4,101,50,2.1579999999999977
Insert,81,INSERT,LINEARES_SONDIEREN,1.64,102,50,2.3946666666666667
Insert,82,INSERT,LINEARES_SONDIEREN,13.72,100,50,14.175333333333333
Insert,83,INSERT,LINEARES_SONDIEREN,1.3399999999999996,101,50,2.132333333333338
Insert,84,INSERT,LINEARES_SONDIEREN,1.58,102,50,2.2466666666666586
Insert,85,INSERT,LINEARES_SONDIEREN,12.48,100,50,14.175333333333333
Insert,86,INSERT,LINEARES_SONDIEREN,1.62,101,50,2.3396666666666692
Insert,87,INSERT,LINEARES_SONDIEREN,1.58,102,50,2.200333333333331
Insert,88,INSERT,LINEARES_SONDIEREN,13.96,100,50,14.175333333333333
Insert,89,INSERT,LINEARES_SONDIEREN,1.34,101,50,2.1783333333333306
Insert,90,INSERT,LINEARES_SONDIEREN,1.82,102,50,2.459666666666666
Insert,91,INSERT,LINEARES_SONDIEREN,34.222222222222214,100,90,42.69799999999999
Insert,92,INSERT,LINEARES_SONDIEREN,3.2777777777777777,101,90,17.95733333333329
Insert,93,INSERT,LINEARES_SONDIEREN,2.922222222222222,102,90,10.620000000000008
Insert,94,INSERT,LINEARES_SONDIEREN,33.355555555555554,100,90,42.69799999999999
Insert,95,INSERT,LINEARES_SONDIEREN,4.466666666666667,101,90,28.365333333333332
Insert,96,INSERT,LINEARES_SONDIEREN,3.800000000000001,102,90,31.622333333333373
Insert,97,INSERT,LINEARES_SONDIEREN,32.37777777777778,100,90,42.69799999999999
Insert,98,INSERT,LINEARES_SONDIEREN,3.611111111111111,101,90,20.0426666666666
Insert,99,INSERT,LINEARES_SONDIEREN,3.5,102,90,17.22633333333333
Insert,100,INSERT,LINEARES_SONDIEREN,34.333333333333336,100,90,42.69799999999999
Insert,101,INSERT,LINEARES_SONDIEREN,3.611111111111111,101,90,18.984333333333346
Insert,102,INSERT,LINEARES_SONDIEREN,3.0888888888888895,102,90,15.408666666666667
Insert,103,INSERT,LINEARES_SONDIEREN,33.088888888888896,100,90,42.69799999999999
Insert,104,INSERT,LINEARES_SONDIEREN,2.2888888888888888,101,90,9.283666666666665
Insert,105,INSERT,LINEARES_SONDIEREN,5.588888888888887,102,90,31.482
Insert,106,INSERT,LINEARES_SONDIEREN,33.86666666666667,100,90,42.69799999999999
Insert,107,INSERT,LINEARES_SONDIEREN,4.477777777777778,101,90,14.928
Insert,108,INSERT,LINEARES_SONDIEREN,3.1222222222222222,102,90,11.328333333333324
Insert,109,INSERT,LINEARES_SONDIEREN,33.0,100,90,42.69799999999999
Insert,110,INSERT,LINEARES_SONDIEREN,4.0,101,90,26.429666666666687
Insert,111,INSERT,LINEARES_SONDIEREN,3.3,102,90,14.22
Insert,112,INSERT,LINEARES_SONDIEREN,32.86666666666667,100,90,42.69799999999999
Insert,113,INSERT,LINEARES_SONDIEREN,3.1555555555555554,101,90,13.428666666666668
Insert,114,INSERT,LINEARES_SONDIEREN,3.411111111111111,102,90,18.38399999999996
Insert,115,INSERT,LINEARES_SONDIEREN,32.53333333333333,100,90,42.69799999999999
Insert,116,INSERT,LINEARES_SONDIEREN,4.188888888888889,101,90,30.97833333333333
Insert,117,INSERT,LINEARES_SONDIEREN,5.155555555555555,102,90,25.583666666666687
Insert,118,INSERT,LINEARES_SONDIEREN,33.71111111111111,100,90,42.69799999999999
Insert,119,INSERT,LINEARES_SONDIEREN,2.6222222222222222,101,90,14.958666666666666
Insert,120,INSERT,LINEARES_SONDIEREN,4.344444444444445,102,90,22.216333333333335
Insert,121,INSERT,LINEARES_SONDIEREN,33.466666666666676,100,90,42.69799999999999
Insert,122,INSERT,LINEARES_SONDIEREN,2.8111111111111104,101,90,19.45733333333335
Insert,123,INSERT,LINEARES_SONDIEREN,2.8666666666666667,102,90,10.049999999999985
Insert,124,INSERT,LINEARES_SONDIEREN,34.26666666666666,100,90,42.69799999999999
Insert,125,INSERT,LINEARES_SONDIEREN,3.477777777777778,101,90,12.940333333333333
Insert,126,INSERT,LINEARES_SONDIEREN,3.0000000000000004,102,90,14.547666666666657
Insert,127,INSERT,LINEARES_SONDIEREN,34.111111111111114,100,90,42.69799999999999
Insert,128,INSERT,LINEARES_SONDIEREN,2.7222222222222228,101,90,15.643
Insert,129,INSERT,LINEARES_SONDIEREN,5.8,102,90,21.273999999999994
Insert,130,INSERT,LINEARES_SONDIEREN,32.3,100,90,41.35866666666677
Insert,131,INSERT,LINEARES_SONDIEREN,3.6777777777777776,101,90,20.76433333333338
Insert,132,INSERT,LINEARES_SONDIEREN,3.6555555555555563,102,90,19.752666666666702
Insert,133,INSERT,LINEARES_SONDIEREN,32.53333333333334,100,90,42.69799999999999
Insert,134,INSERT,LINEARES_SONDIEREN,4.044444444444443,101,90,21.310999999999996
Insert,135,INSERT,LINEARES_SONDIEREN,4.266666666666666,102,90,32.68200000000011
Insert,136,INSERT,LINEARES_SONDIEREN,32.73333333333334,100,90,42.69799999999999
Insert,137,INSERT,LINEARES_SONDIEREN,3.0,101,90,24.24933333333333
Insert,138,INSERT,LINEARES_SONDIEREN,4.322222222222222,102,90,14.089333333333325
Insert,139,INSERT,LINEARES_SONDIEREN,33.2,100,90,42.69799999999999
Insert,140,INSERT,LINEARES_SONDIEREN,2.7333333333333325,101,90,23.26733333333339
Insert,141,INSERT,LINEARES_SONDIEREN,3.6,102,90,13.689666666666675
Insert,142,INSERT,LINEARES_SONDIEREN,32.266666666666666,100,90,42.69799999999999
Insert,143,INSERT,LINEARES_SONDIEREN,2.544444444444444,101,90,12.045333333333328
