#double-hashing.csv
#Yannick
#Matousek
#12005960
group,number,instanceType,probeType,stepsAvg,m,numberOfKeys,stepsNegativeAvg
Double Hashing,85,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,86,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,87,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,88,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,89,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,90,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,91,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,92,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,93,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,94,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,95,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,96,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,97,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,98,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,99,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,100,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,101,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,102,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,103,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,104,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,105,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,106,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,107,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,108,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,109,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,110,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,111,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,112,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,113,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,114,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,115,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,116,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,117,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,118,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,119,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,120,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,121,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,122,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,123,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,124,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,125,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,126,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,127,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,128,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,129,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,130,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,131,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,132,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,133,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,134,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,135,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,136,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,137,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,138,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,139,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,140,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,141,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,142,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,143,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,144,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,145,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,146,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,147,DOUBLE_HASHING,NONE,0.0,0,0,0.0
